group id,image id,fish index,species,length,width,area,gripping points,center point,orientations,avg hsv
1,11,6,horse_mackerel,374.85622068607495,71.21797525905943,17435.0,"[[647, 269, 0.0], [691, 325, 0.0]]","[670, 298, 0.0]","(-37.99215277102313, -41.745883858306215)",[24.89365214 66.19128466 73.62356159]
1,11,7,haddock,360.0629769604311,72.13875518748573,16295.0,"[[392, 176, 0.0], [340, 226, 0.0]]","[366, 201, 0.0]","(44.625523113277175, 48.938739083851196)",[ 24.0099336   44.55417589 112.82492037]
1,11,8,whiting,512.6264757918063,102.07840124139877,32796.5,"[[149, 290, 0.0], [47, 286, 0.0]]","[98, 288, 0.0]","(89.7961012895332, -85.79101507582979)",[ 30.6457003   41.21300177 122.25252468]
1,13,1,whiting,398.4747208116183,92.84934033152848,22983.5,"[[678, 885, 0.0], [643, 799, 0.0]]","[663, 848, 0.0]","(154.33187405488337, 149.21119186929747)",[ 41.36967481  53.67761289 114.85689435]
1,13,2,hake,359.0880242790615,50.96076922496363,12186.0,"[[374, 732, 0.0], [360, 781, 0.0]]","[369, 749, 0.0]","(14.335435419520119, 18.132864911074034)",[ 38.36476393  24.77475502 136.51010759]
1,13,3,whiting,338.2947825893139,84.20213774008353,17680.5,"[[952, 698, 10.950968109360042], [885, 749, 10.950968109360042]]","[916, 725, 10.950968109360042]","(51.53213668785245, 44.020680345660516)",[ 66.98712019  26.31621341 140.95637611]
1,13,4,haddock,364.0204350404017,52.172789842982326,15178.0,"[[629, 599, 0.0], [680, 610, 0.0]]","[653, 604, 0.0]","(-76.03084757812283, -72.40074882287239)",[ 21.35814683  36.79105849 111.65650341]
1,13,5,cod,408.8482312919651,77.00649323271382,21617.5,"[[174, 441, 0.0], [235, 394, 0.0]]","[204, 418, 0.0]","(-132.51044707800085, -128.98146539141868)",[13.94427648 69.23502981 72.60670194]
1,13,6,cod,367.41901989262624,49.49747468305833,12748.5,"[[499, 394, 11.028581550478812], [450, 387, 11.028581550478812]]","[473, 390, 11.028581550478812]","(97.93718800062295, 104.35677595345653)",[11.23335801 68.85851787 84.1888672 ]
1,13,7,hake,449.6364171490093,71.34423592694787,18315.5,"[[852, 284, 11.148753727474748], [791, 321, 11.148753727474748]]","[825, 300, 11.148753727474748]","(57.68426768810653, 56.12146019489035)",[56.95981446 26.06467151 93.72124348]
1,13,8,hake,376.9912237339737,70.21395872616783,14798.0,"[[252, 310, 0.0], [319, 289, 0.0]]","[285, 300, 0.0]","(-104.9898623596818, 70.69553612144948)",[ 24.69010568  34.89472767 104.05864592]
1,14,1,cod,329.7633782979924,66.94027188471824,14310.0,"[[907, 847, 0.0], [891, 782, 0.0]]","[900, 819, 0.0]","(163.15879426385766, 160.9843705911853)",[36.17825162 44.81005149 91.64444818]
1,14,2,haddock,347.95662655272065,58.137767414994535,13993.0,"[[350, 882, 0.0], [376, 830, 0.0]]","[366, 850, 0.0]","(-154.23067237566127, -145.80439459753924)",[ 45.78420152  35.68544629 113.18913338]
1,14,3,hake,438.1733250732508,75.16648189186454,20529.0,"[[442, 713, 0.0], [401, 776, 0.0]]","[424, 741, 0.0]","(31.51693997259474, 37.30394827798343)",[56.45155537 30.43069266 93.17465782]
1,14,4,whiting,441.3359374984043,73.02739212103907,19526.5,"[[122, 715, 0.0], [49, 717, 0.0]]","[88, 716, 0.0]","(83.47335123839555, -84.9328382741468)",[ 33.63773687  50.23486048 114.45904753]
1,14,5,cod,414.7330065341133,63.198101237299845,22320.5,"[[715, 562, 11.093500957907343], [778, 567, 11.093500957907343]]","[748, 565, 11.093500957907343]","(-87.55758468934292, 97.05518606109669)",[19.09522078 57.11529788 76.41052593]
1,14,6,hake,407.4617167242726,53.60037313302959,15739.5,"[[490, 502, 11.036523652145448], [533, 470, 11.036523652145448]]","[510, 487, 11.036523652145448]","(-131.65318135825981, -135.51308281751045)",[ 22.26480341  36.68061477 111.61329544]
1,14,8,whiting,377.3038287875578,74.02702209328699,17144.5,"[[494, 103, 11.280733264624109], [492, 177, 11.280733264624109]]","[493, 145, 11.280733264624109]","(3.0418421566183724, -179.32596310201552)",[ 58.54944063  33.70230271 135.15371495]
1,15,1,cod,403.3195304801988,99.16148445843277,24223.5,"[[266, 928, 0.0], [303, 836, 0.0]]","[284, 883, 0.0]","(-163.55139187296018, -152.76874885273887)",[24.84713467 51.37443459 79.20105424]
1,15,2,cod,360.03743206098113,51.62363799656123,11867.0,"[[537, 773, 11.029325550095553], [486, 781, 11.029325550095553]]","[510, 777, 11.029325550095553]","(80.20785375708252, 77.34149069120235)",[20.4115722  60.0212366  80.22427239]
1,15,3,whiting,408.5509449581338,75.28612089887484,21751.5,"[[764, 698, 0.0], [692, 676, 0.0]]","[722, 685, 0.0]","(108.89824691526381, 111.75501615275564)",[ 44.26566211  23.98916271 131.0855478 ]
1,15,4,haddock,379.47919806968014,55.22680508593631,13849.0,"[[385, 614, 0.0], [330, 609, 0.0]]","[353, 611, 0.0]","(96.13440994392393, 100.38402068762014)",[ 18.02519952  47.28900899 105.25080123]
1,15,5,hake,396.7579601488149,68.87670143089025,15909.5,"[[122, 559, 0.0], [184, 529, 0.0]]","[157, 542, 0.0]","(-113.1985905136482, -115.24399900253543)",[ 17.85719819  42.14440633 101.25279407]
1,15,6,whiting,415.2828302776011,79.75587752636166,21018.5,"[[520, 440, 10.962111633534672], [451, 480, 10.962111633534672]]","[489, 458, 10.962111633534672]","(58.90612458598947, 50.19442890773481)",[ 13.67619596  59.62864547 104.01994982]
1,15,7,hake,320.3530847186752,66.40030120413611,13108.5,"[[497, 192, 11.21643595076387], [457, 245, 11.21643595076387]]","[478, 217, 11.21643595076387]","(36.02737338510361, 38.76166731036069)",[ 34.33065243  27.42838759 114.23497619]
1,15,8,hake,489.5325682794356,76.48529270389177,21815.0,"[[225, 314, 0.0], [300, 299, 0.0]]","[260, 307, 0.0]","(-103.1010861295729, -105.42216131873867)",[27.90330555 42.07627896 81.76418517]
1,16,1,haddock,335.6126316493072,69.35416353759881,15413.0,"[[630, 813, 0.0], [579, 860, 0.0]]","[600, 841, 0.0]","(52.23024263925158, 46.73570458892839)",[ 31.54507094  30.12221109 114.91718973]
1,16,2,hake,247.4474067673501,31.016124838541646,7174.5,"[[763, 732, 0.0], [794, 731, 0.0]]","[773, 732, 0.0]","(-94.65825410967561, 90.0)",[ 26.8267674   19.73577982 137.62342148]
1,16,3,hake,441.7985912026437,52.34500931,18636.5,"[[917, 734, 0.0], [969, 740, 0.0]]","[934, 736, 0.0]","(-86.12532679643486, 98.76906225314761)",[ 47.35385924  23.16062088 115.02700404]
1,16,4,whiting,371.5885985949216,86.28441342444185,19405.0,"[[802, 383, 11.300614024415012], [795, 469, 11.300614024415012]]","[799, 423, 11.300614024415012]","(2.765761834249503, -172.65877418863585)",[ 15.48659197  52.21427672 107.85844979]
1,16,5,hake,491.9304605346016,49.04079934095692,18148.5,"[[133, 642, 0.0], [182, 644, 0.0]]","[158, 643, 0.0]","(-87.91743472026913, 94.76364169072617)",[30.83189401 37.54106968 81.23591757]
1,16,6,cod,408.3271907240237,70.38465742,18895.5,"[[528, 560, 11.332050545498934], [593, 533, 11.332050545498934]]","[560, 547, 11.332050545498934]","(-114.65215073731565, -116.90274341328656)",[13.94467448 65.54400493 70.06849617]
1,16,7,cod,333.2249171846481,63.15853069855251,13475.0,"[[577, 163, 11.249698408277311], [552, 221, 11.249698408277311]]","[563, 195, 11.249698408277311]","(24.64677085193117, 29.450195830298412)",[15.61905045 60.80094955 84.9231454 ]
1,17,1,hake,370.5704229091956,61.07372593840988,14476.0,"[[558, 829, 11.062948709873844], [519, 782, 11.062948709873844]]","[539, 806, 11.062948709873844]","(142.6960517220166, 137.43664824681014)",[ 29.5280657   28.81285755 114.53293685]
1,17,2,cod,425.6911174300032,82.54089895318563,22894.5,"[[120, 798, 0.0], [198, 771, 0.0]]","[158, 785, 0.0]","(-113.9123175517509, -116.00879894999731)",[19.31764569 54.64902615 79.79999224]
1,17,3,cod,365.4856095649872,47.67598976424087,12743.5,"[[366, 592, 0.0], [319, 600, 0.0]]","[344, 596, 0.0]","(79.62028975043225, 76.52684188726886)",[14.52633653 63.63430973 88.20583213]
1,17,4,hake,419.0819296830445,72.94518489934754,16898.0,"[[626, 438, 9.715293500687148], [666, 499, 9.715293500687148]]","[649, 473, 9.715293500687148]","(-35.88684442492457, 149.88152970314056)",[ 22.98353103  38.58273699 103.51166552]
1,17,5,haddock,321.5730748542123,73.68174807915459,14582.5,"[[758, 247, 10.985929561691654], [748, 320, 10.985929561691654]]","[752, 291, 10.985929561691654]","(11.24731416068544, 14.522476034193005)",[ 20.00162329  43.48967254 101.25093759]
1,17,6,whiting,437.3634147876803,78.89233169326408,21676.0,"[[123, 382, 0.0], [191, 342, 0.0]]","[153, 364, 0.0]","(-127.70305384602486, -117.78157407902044)",[ 25.95427704  55.4767589  109.15792138]
1,17,7,whiting,439.7052999327828,98.15294188153509,23878.5,"[[618, 199, 9.61461128554204], [633, 102, 9.61461128554204]]","[625, 151, 9.61461128554204]","(-173.8425276604464, 11.993348723586978)",[24.0519917  33.8867911  85.24114997]
1,17,8,hake,315.7542668290529,74.95331880577403,17583.5,"[[177, 174, 10.709399571490524], [230, 121, 10.709399571490524]]","[201, 150, 10.709399571490524]","(-129.8978347476418, 40.60129464500447)",[ 55.58915835  32.87166117 132.40892321]
1,18,1,whiting,361.09087829068807,81.0,17287.0,"[[664, 850, 0.0], [664, 931, 0.0]]","[664, 894, 0.0]","(1.4538954651088813, 178.95202335399352)",[ 52.2850556   37.72746587 136.71101166]
1,18,2,hake,328.7218364776821,62.96824596572466,11896.5,"[[175, 773, 9.08714501798329], [228, 739, 9.08714501798329]]","[204, 754, 9.08714501798329]","(-122.54430468780468, -124.31089532814461)",[ 90.49518831  23.50433646 143.81157182]
1,18,3,whiting,422.4465957303195,82.02438661763951,21283.5,"[[944, 826, 0.0], [1026, 828, 0.0]]","[979, 827, 0.0]","(-92.06175769075854, 97.00126755749534)",[ 26.77799325  31.65065    107.51727358]
1,18,4,haddock,343.95037443259514,48.27007354458868,12940.5,"[[591, 579, 0.0], [628, 610, 0.0]]","[608, 593, 0.0]","(-49.692862505589844, -43.927170724208466)",[ 58.81248584  29.58928167 128.75908301]
1,18,5,cod,403.5741656,81.02468759581859,20617.0,"[[830, 640, 11.293317913989815], [911, 638, 11.293317913989815]]","[874, 639, 11.293317913989815]","(-94.06631877480598, 91.19348942398204)",[ 18.46852934  41.88848308 113.25517409]
1,18,6,hake,468.12293441429097,69.97142274,21125.5,"[[292, 395, 0.0], [328, 335, 0.0]]","[307, 369, 0.0]","(-152.38113192623362, -147.77546698275955)",[18.78466411 54.28658012 66.60233049]
1,18,7,cod,363.81514515570734,67.91170738539859,15201.5,"[[652, 323, 9.65121934240217], [586, 307, 9.65121934240217]]","[614, 314, 9.65121934240217]","(105.3955492539951, 108.00416160591338)",[21.07965383 36.48947612 89.61193967]
1,18,8,hake,400.0152362908157,100.4987562112089,25028.0,"[[1049, 260, 0.0], [949, 250, 0.0]]","[1000, 255, 0.0]","(95.3939105062123, -83.77417093557425)",[14.34243245 59.36939824 96.31076974]
1,19,1,whiting,303.29532867624624,63.324560795950255,11990.0,"[[396, 828, 0.0], [335, 811, 0.0]]","[367, 820, 0.0]","(105.64224645720874, -74.2679952148927)",[ 26.36638401  30.78904733 115.04467289]
1,19,2,haddock,336.7031517538536,70.71067811865476,16749.0,"[[814, 761, 11.20198141698024], [864, 811, 11.20198141698024]]","[840, 787, 11.20198141698024]","(-40.89901830231539, -47.82980759288715)",[ 39.50784451  42.86342349 118.25172696]
1,19,3,whiting,443.5728291720321,74.21590126111789,23661.5,"[[205, 713, 0.0], [277, 731, 0.0]]","[233, 720, 0.0]","(-80.53767779197439, -72.05059700708613)",[ 25.49587507  45.99521214 111.78049499]
1,19,4,hake,378.4469278162568,74.33034373659252,16371.0,"[[733, 603, 11.244966916092203], [678, 553, 11.244966916092203]]","[708, 580, 11.244966916092203]","(133.65887222028283, 128.14169927622802)",[ 27.2490647   27.31456078 124.11203671]
1,19,5,cod,427.42059635044177,78.10249675906654,21549.0,"[[72, 640, 0.0], [150, 644, 0.0]]","[110, 642, 0.0]","(-89.27782253845518, 96.97492951599615)",[16.14524088 60.7324356  80.97055872]
1,19,6,hake,362.7001853268283,83.40863264674707,18384.5,"[[705, 278, 0.0], [654, 212, 0.0]]","[681, 247, 0.0]","(138.48682977103712, 141.20344790169185)",[ 57.41289134   7.57704113 144.12117864]
1,19,7,hake,442.9913386674492,62.16912416947821,19855.0,"[[870, 354, 11.20967122118007], [931, 366, 11.20967122118007]]","[896, 359, 11.20967122118007]","(-81.83794239008701, -79.61114218453038)",[22.26027164 33.1482948  93.3319283 ]
1,19,8,cod,356.5296137984484,59.46427498927402,15614.0,"[[264, 130, 10.866612555109565], [244, 186, 10.866612555109565]]","[253, 161, 10.866612555109565]","(22.726283435461493, 25.681706069289053)",[ 25.17029491  31.29664011 112.68023495]
1,2,1,horse_mackerel,398.9389469491547,60.41522986797286,14405.0,"[[784, 887, 0.0], [759, 832, 0.0]]","[771, 859, 0.0]","(151.0976429637982, 160.81009924057278)",[36.32592232 36.67332035 62.50957481]
1,2,2,haddock,371.2706183146364,85.42833253669417,20552.0,"[[343, 876, 0.0], [380, 799, 0.0]]","[360, 841, 0.0]","(-153.91946817796673, -148.2293140128241)",[ 57.52639356  28.64116247 124.59338314]
1,2,3,haddock,326.2564178463019,82.56512580987206,16109.0,"[[780, 642, 0.0], [796, 723, 0.0]]","[787, 677, 0.0]","(-13.134022306396323, -15.727707816500308)",[ 21.27383669  42.00535767 109.12659986]
1,2,4,horse_mackerel,392.6051944290096,69.46221994724903,16305.5,"[[362, 602, 0.0], [335, 666, 0.0]]","[347, 637, 0.0]","(21.75150028337146, 27.552811576717804)",[33.597234  61.3097181 75.2009326]
1,2,5,whiting,423.36109670286487,91.80958555619344,25651.0,"[[638, 507, 0.0], [688, 584, 0.0]]","[661, 542, 0.0]","(-33.690067525979785, -29.80685615596627)",[ 39.93307074  50.1672255  113.34997884]
1,2,6,whiting,381.9956004268445,82.56512580987206,19249.5,"[[811, 306, 11.222342726429726], [787, 385, 11.222342726429726]]","[798, 349, 11.222342726429726]","(20.61818812310449, 24.102234501161142)",[ 49.7082131   40.68616219 121.24505793]
1,2,7,haddock,363.8830397418568,80.05623023850174,18141.5,"[[482, 306, 11.189386298897718], [557, 278, 11.189386298897718]]","[518, 293, 11.189386298897718]","(-110.55604521958347, -114.16332463505647)",[ 14.35573104  51.60564728 104.77889447]
1,2,8,whiting,489.0061698,104.1009125800538,31950.0,"[[325, 236, 0.0], [236, 290, 0.0]]","[282, 262, 0.0]","(59.77301324740221, 51.40586023235673)",[ 22.00087452  44.38010607 120.51306139]
1,20,1,whiting,300.51839157766443,62.03224967708329,16019.5,"[[838, 972, 11.269442046356383], [840, 910, 11.269442046356383]]","[839, 929, 11.269442046356383]","(178.87669728592456, 4.666858371438996)",[ 79.5557955   11.65016071 138.18968461]
1,20,2,cod,369.9406848173423,51.07837115648854,11824.5,"[[279, 777, 0.0], [232, 757, 0.0]]","[255, 767, 0.0]","(112.84665526222199, 117.91293845727661)",[26.74073268 60.11222343 82.46514327]
1,20,4,hake,395.6122244562504,80.06247560499239,21193.0,"[[773, 708, 0.0], [736, 637, 0.0]]","[754, 672, 0.0]","(149.58891873287462, 147.16387137342087)",[ 31.15503846  27.52214015 111.9920395 ]
1,20,6,hake,412.8360145226056,65.0,14922.5,"[[946, 351, 11.057134885960075], [890, 384, 11.057134885960075]]","[922, 365, 11.057134885960075]","(59.07903343720271, 55.942185409009376)",[57.4388598  25.51843654 87.66306754]
1,20,7,whiting,430.6316443696196,83.60023923410746,25227.5,"[[691, 354, 0.0], [608, 364, 0.0]]","[654, 358, 0.0]","(80.65532809790031, 76.44623590226836)",[ 21.29050984  53.58161674 106.95140478]
1,20,8,cod,398.8627982151223,79.02531240052139,21380.0,"[[321, 223, 11.056067300817068], [319, 144, 11.056067300817068]]","[320, 182, 11.056067300817068]","(175.4057466687336, 2.3037603246002045)",[15.85856215 62.36495494 70.81580381]
1,21,1,hake,428.0889279424785,77.92945527847606,20408.0,"[[564, 779, 0.0], [552, 856, 0.0]]","[559, 812, 0.0]","(6.766174822553061, -169.10310924467453)",[51.52018082 32.19119309 97.4408702 ]
1,21,2,cod,380.8163881262403,79.20227269466452,18487.5,"[[890, 789, 0.0], [962, 822, 0.0]]","[930, 807, 0.0]","(-64.6538240580533, -59.1391083116505)",[32.92931755 50.87360724 59.36368384]
1,21,3,whiting,284.0518750730159,56.04462507680822,11472.0,"[[180, 714, 0.0], [126, 699, 0.0]]","[148, 705, 0.0]","(112.30620505490765, 113.96248897457818)",[ 46.56588695  28.71422738 126.53864551]
1,21,4,whiting,409.0185750101275,89.94442728707543,23229.5,"[[691, 583, 0.0], [648, 504, 0.0]]","[675, 553, 0.0]","(145.98065001017355, 155.14158074052142)",[ 32.66015707  52.00827431 117.37690204]
1,21,5,hake,454.8346935946514,95.50916186418976,28016.0,"[[1022, 489, 11.236870538649852], [931, 460, 11.236870538649852]]","[976, 474, 11.236870538649852]","(106.96271783975547, 109.94599786160094)",[ 46.06735371  23.20270707 108.03282539]
1,21,6,cod,357.3236769629984,65.27633568147036,14781.0,"[[809, 360, 11.15839174012056], [803, 295, 11.15839174012056]]","[806, 325, 11.15839174012056]","(174.23211110208587, -3.6214847041173397)",[ 24.12720396  46.98008788 102.72100784]
1,21,7,hake,242.1845355571964,46.87216658103186,6131.0,"[[178, 237, 0.0], [139, 211, 0.0]]","[163, 227, 0.0]","(122.1712171285446, 124.36278549070994)",[ 23.82824122  31.90410802 123.94484495]
1,21,8,haddock,330.76194868010293,62.39390995922599,12567.5,"[[867, 193, 10.93119697459902], [874, 131, 10.93119697459902]]","[871, 157, 10.93119697459902]","(-173.7256654429182, -169.5792876032055)",[ 24.13584452  40.1272958  106.50631136]
1,22,1,whiting,418.4317592397621,74.20242584,19153.5,"[[415, 804, 0.0], [370, 745, 0.0]]","[395, 778, 0.0]","(135.6780249107513, 144.68878656036682)",[ 37.99216254  58.66942114 110.29893087]
1,22,2,cod,373.0196796689941,75.28612089887484,17705.0,"[[667, 749, 11.16656547741162], [715, 807, 11.16656547741162]]","[691, 778, 11.16656547741162]","(-42.87890360333855, -39.87683446287185)",[23.71019457 59.43719741 69.91563899]
1,22,3,haddock,302.56310274038674,39.3192065,9352.0,"[[868, 765, 0.0], [907, 770, 0.0]]","[889, 768, 0.0]","(-80.36246188706905, -72.97947438848014)",[ 31.54928398  31.2067666  109.12277029]
1,22,4,whiting,282.31998115032684,88.64536084872124,17536.5,"[[768, 576, 11.186756818866522], [751, 489, 11.186756818866522]]","[759, 530, 11.186756818866522]","(167.47119229084848, -9.392449340818924)",[ 26.2561792   25.6942585  124.16104531]
1,22,5,cod,376.7101010029028,71.70076708,15726.5,"[[197, 566, 0.0], [268, 576, 0.0]]","[240, 572, 0.0]","(-80.85522834621572, 96.4524628880025)",[ 22.3221808   26.26453868 130.99217148]
1,22,6,hake,418.7410209209044,65.25335240430181,16578.5,"[[554, 336, 0.0], [491, 319, 0.0]]","[521, 327, 0.0]","(104.15141070882937, 105.57640008058401)",[14.57727715 63.43530219 87.7850649 ]
1,22,7,hake,438.6071860819274,68.68041933,18650.0,"[[431, 340, 0.0], [365, 321, 0.0]]","[396, 330, 0.0]","(106.00740429609985, 107.76266935636794)",[19.22919986 37.13623516 98.42915874]
1,24,1,whiting,432.4291019382258,95.18928511,24933.5,"[[639, 957, 9.709856991374648], [624, 863, 9.709856991374648]]","[632, 915, 9.709856991374648]","(170.18521332794774, 165.37912601136833)",[ 43.47129467  19.53121135 137.50400312]
1,24,2,haddock,334.88850908514337,65.80273550544841,11826.0,"[[400, 839, 11.338172389955869], [439, 892, 11.338172389955869]]","[415, 860, 11.338172389955869]","(-34.23746277685754, -38.97840986095665)",[ 36.52381285  37.27946927 112.95963687]
1,24,3,haddock,368.011077781208,67.60177512462228,12905.0,"[[36, 867, 0.0], [103, 858, 0.0]]","[67, 863, 0.0]","(-96.83236167741698, 79.59228868750995)",[ 43.3007596   32.84780675 121.62793403]
1,24,4,whiting,415.12541710263565,65.45991139621256,18522.5,"[[387, 751, 0.0], [350, 697, 0.0]]","[371, 728, 0.0]","(137.47420446817046, 146.58772801609734)",[ 36.18002832  57.3443881  115.01544014]
1,24,5,cod,366.9660577568096,74.20242584,18156.0,"[[712, 692, 11.141610070870309], [757, 751, 11.141610070870309]]","[735, 722, 11.141610070870309]","(-40.928186105692355, -39.347496514289716)",[ 38.57013836  29.99942352 110.80073021]
1,24,6,whiting,261.5374598935281,85.37564055396598,17644.0,"[[772, 573, 11.241811396055459], [752, 490, 11.241811396055459]]","[761, 527, 11.241811396055459]","(164.99108632334134, -12.162203519681837)",[23.77407721 54.35816377 77.40981344]
1,24,7,horse_mackerel,336.13665272694766,70.11419257183242,16444.0,"[[1069, 574, 11.214580591678974], [999, 578, 11.214580591678974]]","[1033, 576, 11.214580591678974]","(89.09540496626731, -97.07637817763681)",[ 29.98076482  22.27103705 140.21402011]
1,24,8,cod,376.7301131960895,65.62011886609167,15338.5,"[[201, 564, 0.0], [266, 573, 0.0]]","[240, 569, 0.0]","(-80.7217599843301, 96.3401917459099)",[57.47170435 35.98999628 74.96465628]
1,24,9,hake,416.317146986606,70.60453243241541,15122.5,"[[557, 341, 11.257059346623956], [489, 322, 11.257059346623956]]","[518, 330, 11.257059346623956]","(103.80357153062329, 104.97832965088003)",[15.13234262 58.5948982  95.41200562]
1,24,10,hake,434.08933932776495,60.728905802755904,16153.0,"[[425, 342, 0.0], [367, 324, 0.0]]","[396, 333, 0.0]","(106.45496138291988, 107.98142969696406)",[ 23.46149134  33.89541683 104.82898034]
1,24,11,whiting,379.9215243873167,84.64632301523794,20902.5,"[[877, 241, 11.171597274467338], [898, 159, 11.171597274467338]]","[888, 198, 11.171597274467338]","(-160.60585073023054, -157.42297300996853)",[30.07245445 31.81897106 94.71806002]
1,24,13,horse_mackerel,314.98980309745326,62.93647591023825,9574.5,"[[156, 219, 0.0], [96, 200, 0.0]]","[119, 207, 0.0]","(107.47477425625567, 108.98060641633774)",[ 32.04560087  33.06650059 127.47834808]
1,25,6,cod,350.19814907057264,63.56099432828282,14085.0,"[[180, 614, 0.0], [206, 556, 0.0]]","[194, 583, 0.0]","(-154.84462756613166, -150.29298768598576)",[25.64455982 52.26656618 74.56735332]
1,25,7,horse_mackerel,406.12518603471256,63.03173804,15563.5,"[[406, 571, 0.0], [343, 573, 0.0]]","[369, 572, 0.0]","(88.74919918523459, -91.61809453273746)",[ 21.02867528  37.41312601 126.90521002]
1,25,8,whiting,327.66601609402414,93.33809511662427,20319.5,"[[738, 510, 11.145407303751533], [804, 444, 11.145407303751533]]","[770, 478, 11.145407303751533]","(-137.32781508904117, -135.46962701968963)",[ 15.32605706  38.24303884 121.76950842]
1,25,9,haddock,292.15526111391654,70.71067811865476,14609.0,"[[558, 497, 0.0], [628, 507, 0.0]]","[589, 501, 0.0]","(-83.35848086198847, 99.91652612090728)",[ 41.84092544  49.21360142 102.11480935]
1,25,10,whiting,448.7552867778995,82.15229759416349,20995.0,"[[966, 597, 11.223696802983751], [1048, 602, 11.223696802983751]]","[1004, 599, 11.223696802983751]","(-86.55778471410262, 93.14495746469802)",[ 29.58950701  30.58842153 119.04848485]
1,25,12,whiting,421.0506685712131,75.43208866258443,19216.0,"[[367, 313, 0.0], [308, 266, 0.0]]","[340, 292, 0.0]","(122.95296950879484, 132.37359436170928)",[ 29.86495217  26.61939371 138.14486272]
1,25,13,whiting,335.4368854612609,60.53098380168623,13338.0,"[[574, 255, 11.180459552754815], [514, 247, 11.180459552754815]]","[544, 251, 11.180459552754815]","(96.67446904711758, -80.15098548888297)",[ 26.56415206  34.23173448 139.3001188 ]
1,26,2,whiting,428.1782716064839,97.63708311906906,24849.0,"[[943, 772, 0.0], [861, 825, 0.0]]","[897, 802, 0.0]","(58.483060027405266, 52.666804261814185)",[ 47.67997197  25.59654041 125.71428116]
1,26,4,hake,463.7284717711584,50.60632371551998,16814.5,"[[476, 604, 0.0], [436, 573, 0.0]]","[456, 589, 0.0]","(128.59255971746683, 130.41390110382915)",[28.26992698 28.82186568 95.44209606]
1,26,7,haddock,361.5512582115842,79.90619500389191,15174.0,"[[494, 312, 11.194298969510173], [551, 256, 11.194298969510173]]","[522, 285, 11.194298969510173]","(-135.76902468257805, -132.49370371801191)",[ 15.59934071  41.27192982 113.32098558]
