group id,image id,fish index,species,length,width,area,gripping points,avg hsv,bounding box
1,3,5,whiting,422.968364,102.1077862,33373.5,"[[736, 873], [761, 774]]",[26.536709982279977 27.6748670998228 119.90992321323095],"[[1231, 785], [1701, 942]]"
1,3,6,haddock,395.7912397,72.33947747,23461,"[[665, 512], [737, 505]]",[23.093890028895682 37.921018468110056 108.41488337032538],"[[1386, 299], [1488, 706]]"
1,3,7,horse_mackerel,406.7716514,76.10519036,21732,"[[309, 67], [305, 143]]",[30.242304051922297 58.22634876278902 69.97994320998784],"[[811, 81], [1249, 157]]"
1,4,0,horse_mackerel,384.0211634,75,22590.5,"[[611, 669], [611, 744]]",[32.231770833333336 62.807855902777774 82.6765625],"[[1147, 688], [1582, 768]]"
1,4,1,whiting,413.1889726,99.60923652,29207.5,"[[250, 844], [239, 943]]",[64.40513114422494 42.13508866563279 127.41912210909581],"[[733, 861], [1177, 972]]"
1,4,2,haddock,333.3786666,80.05623024,21119.5,"[[817, 809], [814, 889]]",[36.92349879159695 34.48308235731549 109.71240007436326],"[[1401, 824], [1786, 919]]"
1,4,3,haddock,346.5735619,83.38465087,20815,"[[652, 177], [660, 94]]",[18.464390151872465 45.59206678615225 105.6453164795774],"[[1165, 96], [1548, 193]]"
1,4,4,horse_mackerel,434.8845962,71.69379332,23547,"[[639, 399], [573, 427]]",[31.57238158772515 46.19842394929953 69.34247831887926],"[[1228, 253], [1466, 664]]"
1,4,5,whiting,475.2099349,99.46356117,32392.5,"[[366, 452], [463, 430]]",[24.898755742143532 49.86675184813361 111.16643850202306],"[[1027, 201], [1174, 669]]"
1,4,6,haddock,406.4183321,77.1038261,23598.5,"[[204, 493], [281, 489]]",[22.960452918158357 38.497419032553495 116.3342352843227],"[[888, 281], [980, 689]]"
1,4,7,whiting,462.4913063,103.4698024,35996,"[[852, 568], [937, 509]]",[44.48850480109739 24.602578875171467 132.28296296296296],"[[1474, 328], [1809, 722]]"
1,5,0,horse_mackerel,396.0357243,75.23961722,21012,"[[430, 83], [436, 158]]",[31.04772557792692 59.6079418344519 67.04702647278151],"[[954, 93], [1386, 179]]"
1,5,1,whiting,418.6343297,82.71033793,25799,"[[998, 369], [918, 390]]",[54.76249666374347 29.427765280054906 128.70244404621192],"[[1645, 209], [1797, 625]]"
1,5,2,whiting,476.0003716,107.1680923,37594,"[[304, 972], [298, 865]]",[66.39419522298839 31.515639338244934 122.14816077187278],"[[721, 881], [1235, 1003]]"
1,5,3,haddock,396.8021929,84.09518417,23984.5,"[[72, 201], [148, 237]]",[15.39323536655447 46.404318200476155 113.95197438633939],"[[695, 36], [905, 396]]"
1,5,4,haddock,336.7770767,81.58431222,21383.5,"[[819, 896], [803, 816]]",[26.35511141741328 33.11302549965541 113.64736963014013],"[[1361, 833], [1738, 932]]"
1,5,5,horse_mackerel,450.6714105,81.22191822,24741,"[[128, 586], [47, 592]]",[29.078366051953203 46.547967479674796 83.62264525084275],"[[721, 414], [831, 870]]"
1,5,6,whiting,419.6473016,104.1729331,32689.5,"[[714, 628], [720, 732]]",[47.319961421380995 49.038699177190395 115.56122848789897],"[[1248, 643], [1725, 755]]"
1,5,7,haddock,373.8488869,77.78174593,23440,"[[517, 508], [528, 431]]",[36.26116118214211 36.14873192202892 118.2545797526724],"[[1016, 432], [1422, 532]]"
1,6,0,horse_mackerel,377.2723611,75.80237463,22229,"[[732, 556], [721, 631]]",[33.13623533562671 63.237981829408135 74.96802505071888],"[[1279, 561], [1707, 656]]"
1,6,1,whiting,419.6103152,84.89994111,25760,"[[1003, 368], [921, 390]]",[54.20750754191011 29.28025356092718 127.80643067170733],"[[1645, 208], [1796, 625]]"
1,6,2,haddock,387.8101154,74.33034374,22225,"[[476, 367], [547, 345]]",[19.54737167867722 50.91255139484504 101.84362703921482],"[[1121, 168], [1284, 542]]"
1,6,3,haddock,365.0432259,86.33075929,21718,"[[282, 500], [245, 422]]",[18.354536399855125 45.25316914161536 110.11811843534952],"[[759, 396], [1109, 576]]"
1,6,4,horse_mackerel,424.5611435,83.19254774,25758,"[[274, 828], [238, 903]]",[40.45445873239974 48.325676346014426 91.62933567367497],"[[776, 786], [1194, 1029]]"
1,6,5,whiting,403.3155746,103.0776406,31537,"[[826, 854], [830, 957]]",[55.180895261300094 46.50773123418611 114.43141848623996],"[[1382, 875], [1843, 991]]"
1,6,6,haddock,380.9389158,80.75270893,23731.5,"[[251, 697], [240, 617]]",[46.35304347826087 36.75138716356108 120.53403726708075],"[[709, 613], [1111, 729]]"
1,6,7,whiting,449.1872172,107.5639345,35175,"[[701, 175], [780, 248]]",[18.836107446599488 42.796334240884725 114.46969994666966],"[[1310, 24], [1682, 372]]"
1,7,0,horse_mackerel,415.7718035,73.55270219,21950.5,"[[135, 269], [188, 320]]",[23.34614178870527 58.399614850642664 73.57217071969188],"[[705, 130], [1027, 446]]"
1,7,1,whiting,422.4943284,86.97700846,28061,"[[746, 555], [663, 581]]",[39.9666257238112 33.81221266888928 124.91307246885418],"[[1344, 404], [1524, 820]]"
1,7,2,haddock,415.3870754,84.40379138,24540,"[[75, 801], [157, 821]]",[32.517407155162054 36.686310644605584 116.57345458915908],"[[726, 601], [861, 1013]]"
1,7,3,haddock,376.8258393,83.93449827,22239.5,"[[340, 786], [262, 817]]",[43.87841004554097 35.35384887474024 116.61648317637176],"[[918, 662], [1099, 1024]]"
1,7,4,horse_mackerel,404.6712788,68.47627326,22087.5,"[[926, 617], [866, 650]]",[45.80419611503756 45.67564564164111 64.9603947192959],"[[1549, 497], [1818, 871]]"
1,7,5,haddock,390.266592,69.46221995,22232,"[[877, 351], [946, 343]]",[22.74496644295302 42.08848463440481 100.82342811727305],"[[1621, 136], [1725, 537]]"
1,7,6,whiting,438.1587928,97.59098319,32985,"[[587, 743], [517, 811]]",[58.425019448267605 39.0621147746993 130.57336484950034],"[[1117, 641], [1482, 984]]"
1,7,7,whiting,465.6667577,104.8093507,36103.5,"[[437, 277], [489, 368]]",[19.265289391703558 46.126605454446086 119.67918237962508],"[[960, 193], [1427, 442]]"
1,8,0,horse_mackerel,382.7439471,72.20110802,21687.5,"[[806, 673], [849, 731]]",[24.828509308329934 63.986501789192374 82.5123884585768],"[[1423, 580], [1790, 825]]"
1,8,1,whiting,408.9063825,93.74433316,28179,"[[436, 767], [454, 859]]",[53.904865015890756 44.88925365836622 121.13442531344951],"[[956, 778], [1397, 899]]"
1,8,2,whiting,503.2023675,104.3072385,36672,"[[123, 302], [227, 294]]",[21.91022470702075 40.01169229115149 117.54835501558972],"[[792, 39], [928, 540]]"
1,8,3,haddock,376.3559735,84.31488599,22729.5,"[[358, 478], [405, 548]]",[19.729231568016615 45.65152301834545 113.64390792661821],"[[921, 399], [1270, 622]]"
1,8,4,haddock,349.2202578,83.00602388,21228.5,"[[751, 312], [708, 241]]",[15.825243168133396 45.531912922649376 109.4154238073182],"[[1274, 192], [1608, 398]]"
1,8,5,horse_mackerel,395.4270649,79.0253124,24999.5,"[[665, 839], [667, 918]]",[36.155890550779255 55.65273034193067 88.63796961488634],"[[1208, 863], [1659, 954]]"
1,8,6,whiting,477.480496,100.0899595,34031.5,"[[146, 713], [53, 750]]",[50.56895702321268 37.42371113107485 120.69371431883386],"[[687, 547], [911, 999]]"
1,8,7,haddock,361.0828651,73.92563831,23043,"[[650, 514], [687, 578]]",[19.42377944691021 42.10468589962444 113.75785250938887],"[[1235, 448], [1596, 650]]"
1,9,0,horse_mackerel,404.6641416,76.6093989,21514,"[[453, 230], [498, 292]]",[23.53898831263696 64.26894631117604 77.13810262965669],"[[1028, 118], [1386, 387]]"
1,9,1,whiting,423.3821907,95.4253635,28528.5,"[[414, 540], [489, 599]]",[34.42811203319502 47.355878284923925 121.03769017980636],"[[1029, 410], [1333, 746]]"
1,9,2,whiting,441.381837,110.3086579,38004.5,"[[782, 772], [824, 874]]",[33.56609508963367 30.935541699142636 123.04346583528189],"[[1357, 727], [1822, 948]]"
1,9,3,haddock,401.7706952,80.50465825,23672,"[[129, 483], [209, 492]]",[20.659305077006103 45.40620200091328 117.26688530034455],"[[797, 286], [897, 687]]"
1,9,4,haddock,373.0776996,73.02739212,20828.5,"[[964, 371], [891, 369]]",[22.49502850949531 35.160265774468684 120.29249328495358],"[[1647, 208], [1733, 593]]"
1,9,5,horse_mackerel,438.4200708,73,24059,"[[665, 485], [738, 485]]",[24.921537458221245 54.94191733920274 91.35049319311975],"[[1392, 246], [1473, 698]]"
1,9,6,whiting,465.6253098,110.1635148,34243,"[[222, 84], [216, 194]]",[58.771833904060315 36.566343414578 130.96123852551005],"[[686, 86], [1178, 209]]"
1,9,7,haddock,409.7611665,81.0246876,24837,"[[64, 765], [143, 747]]",[36.00582016866611 32.19044225363265 125.74323949796096],"[[719, 548], [853, 953]]"
1,10,0,horse_mackerel,373.8466465,69.26037828,19577.5,"[[796, 70], [790, 139]]",[34.28302263981208 57.97516117747014 66.68529161877156],"[[1352, 71], [1769, 146]]"
1,10,1,whiting,440.527388,91.78779875,28879,"[[306, 710], [397, 722]]",[41.720407745806625 43.05212736942588 120.36339151779626],"[[990, 494], [1107, 939]]"
1,10,2,whiting,506.1000394,111.1980216,40813.5,"[[192, 727], [83, 749]]",[45.701347070062155 31.742121937652662 124.75256959055842],"[[738, 529], [930, 1036]]"
1,10,3,haddock,388.1092195,73.33484847,22340.5,"[[686, 430], [759, 437]]",[19.133588289595146 49.43914018198602 97.58595982240978],"[[1396, 229], [1496, 627]]"
1,10,4,haddock,378.0635685,78.4346862,22237.5,"[[565, 783], [491, 757]]",[22.66590024761231 33.87522108241953 118.96754510081358],"[[1157, 627], [1322, 993]]"
1,10,5,horse_mackerel,391.1498885,74.81310046,22761,"[[837, 718], [826, 644]]",[32.482843242777804 41.40457226503638 78.53166573384424],"[[1336, 648], [1778, 769]]"
1,10,6,whiting,481.9795555,102.7861858,33638,"[[174, 407], [272, 376]]",[25.48163672069643 50.32277163877246 113.1032916141513],"[[799, 156], [986, 616]]"
1,10,7,haddock,386.6660217,70.40596566,22255,"[[873, 413], [942, 399]]",[27.39601994440277 36.78948065128183 103.7297356925385],"[[1605, 200], [1733, 593]]"
1,11,0,horse_mackerel,391.6577842,73.81734214,21481,"[[650, 261], [693, 321]]",[23.544410903768753 67.40793084522502 77.36319978046103],"[[1245, 150], [1600, 414]]"
1,11,1,whiting,406.4991975,97.12878049,27945,"[[548, 451], [595, 536]]",[37.82026512480609 49.66630235509801 119.65177690029616],"[[1114, 396], [1509, 619]]"
1,11,2,whiting,517.3465814,110,41458.5,"[[151, 289], [41, 289]]",[31.180878922058753 39.10829405323049 121.7869590058563],"[[715, 74], [843, 591]]"
1,11,3,haddock,399.8499299,81.3019065,22883.5,"[[193, 410], [274, 417]]",[22.345681662087912 47.38096668956044 113.01893028846153],"[[864, 211], [962, 611]]"
1,11,4,haddock,363.6258985,82.75868534,22246.5,"[[400, 183], [343, 243]]",[27.116298623711113 40.47979820330132 117.66783201309909],"[[939, 108], [1234, 379]]"
1,11,5,horse_mackerel,436.1396367,66,22577.5,"[[856, 462], [790, 462]]",[37.92114850798057 45.19196738376127 66.7227185981957],"[[1528, 279], [1610, 735]]"
1,11,6,whiting,468.2854706,104.6231332,35161,"[[131, 819], [220, 764]]",[47.24086915022038 32.73451054153449 124.25527076724404],"[[687, 593], [991, 999]]"
1,11,7,haddock,374.121974,81.84130986,23949,"[[443, 803], [490, 736]]",[54.221728943149586 31.37049369013853 124.59608665269043],"[[984, 656], [1325, 905]]"
1,13,0,cod,412.3229961,84.02380615,25529.5,"[[164, 439], [230, 387]]",[17.950486261191728 64.84262117937635 74.27620407533189],"[[716, 256], [994, 590]]"
1,13,1,hake,479.2679826,74.04052944,25926,"[[325, 299], [254, 320]]",[28.344926877320603 42.59729483973631 106.69652193680382],"[[906, 112], [1079, 576]]"
1,13,2,cod,374.7163869,64.49806199,18190,"[[504, 397], [440, 389]]",[12.733096468561586 62.54258182601206 88.85642764857882],"[[1129, 238], [1225, 617]]"
1,13,3,hake,462.0981976,84.59905437,29358,"[[858, 282], [787, 328]]",[58.73858754027927 24.987177765843178 101.99137352309344],"[[1445, 130], [1743, 538]]"
1,13,4,haddock,373.1819744,64.76109943,20101.5,"[[617, 586], [680, 601]]",[21.421299233735176 37.72263165601054 115.79501195763581],"[[1324, 405], [1444, 782]]"
1,13,5,whiting,375.6750699,83.40863265,23057.5,"[[960, 703], [894, 754]]",[63.87255194777489 28.739685113282416 140.92883048171694],"[[1560, 616], [1850, 927]]"
1,13,6,whiting,398.5691871,86.97700846,28596,"[[670, 888], [641, 806]]",[41.535995868479944 54.39445687725942 113.60323635737649],"[[1166, 788], [1584, 989]]"
1,13,7,hake,371.3403863,65,17811,"[[358, 714], [342, 777]]",[46.06385899406985 28.919229079727653 131.23188007906876],"[[880, 707], [1274, 829]]"
1,14,0,cod,418.4963554,74.24284477,24638.5,"[[700, 581], [774, 587]]",[21.08366565640453 62.32676662944648 65.30248045940341],"[[1421, 360], [1519, 791]]"
1,14,1,hake,454.5477564,72.80109889,25198.5,"[[479, 513], [537, 469]]",[25.579609375 33.4244921875 117.396484375],"[[1032, 315], [1357, 679]]"
1,14,2,cod,327.3966572,60.44005295,16585.5,"[[895, 852], [878, 794]]",[33.72895156056404 46.88530296772671 87.37217534957814],"[[1453, 791], [1807, 912]]"
1,14,3,hake,462.0577679,87.36704184,29282,"[[450, 709], [402, 782]]",[59.01089405198211 29.65942638109008 99.18106317877677],"[[952, 634], [1383, 921]]"
1,14,4,haddock,355.6873526,69.7782201,20859.5,"[[344, 883], [374, 820]]",[49.19716452357402 39.314728463096415 119.47331731901465],"[[873, 760], [1225, 956]]"
1,14,5,whiting,404.3809796,88.09086218,24714.5,"[[490, 97], [486, 185]]",[56.54115684093437 34.143651676465915 133.598005720642],"[[992, 106], [1434, 212]]"
1,14,6,whiting,452.0275587,92.02173656,30750,"[[134, 711], [42, 713]]",[36.75114469597515 43.2418750600365 121.09064711344497],"[[706, 523], [819, 981]]"
1,14,7,hake,384.0492509,56,17578,"[[947, 403], [891, 403]]",[31.38758827781794 30.44770060612801 98.2183729077462],"[[1646, 235], [1718, 634]]"
1,15,0,cod,399.5714958,92.70382948,27854,"[[261, 926], [298, 841]]",[26.099444778441843 51.18983626268699 79.12023906354987],"[[744, 812], [1148, 1004]]"
1,15,1,hake,471.4967197,72.73238618,25483,"[[130, 578], [199, 555]]",[29.09416660245049 37.63782075980581 101.39801186714958],"[[739, 339], [931, 792]]"
1,15,2,cod,365.871468,62.96824597,18616,"[[543, 771], [481, 782]]",[24.65993053362804 52.249921060940956 87.34685822544995],"[[1175, 633], [1283, 1008]]"
1,15,3,hake,498.5663648,84.34453154,29203.5,"[[219, 301], [302, 286]]",[29.199892295782707 44.73161455353236 85.41705092390023],"[[870, 39], [1012, 530]]"
1,15,4,haddock,385.5550836,70.25667228,20829.5,"[[391, 614], [321, 608]]",[19.34865539490416 46.68238119907691 107.3088588517873],"[[1012, 458], [1098, 847]]"
1,15,5,whiting,425.3803367,76.84399781,24766,"[[759, 705], [686, 681]]",[46.378977858900086 22.699071502261724 134.4638123958416],"[[1368, 523], [1535, 944]]"
1,15,6,whiting,421.8839403,87.92041856,28520.5,"[[523, 433], [450, 482]]",[13.959007327526614 57.5162449882483 105.55557859809208],"[[1083, 300], [1363, 672]]"
1,15,7,hake,376.344139,60,18170.5,"[[507, 203], [471, 251]]",[35.67375580265573 34.06687898089172 112.77107848429235],"[[1046, 131], [1384, 366]]"
1,16,0,cod,415.9005615,78.54934755,24924.5,"[[519, 554], [592, 525]]",[16.32461332070707 60.61091382575758 73.25856218434343],"[[1145, 348], [1345, 740]]"
1,16,1,hake,460.3088549,62.64982043,24889,"[[904, 723], [966, 732]]",[44.09515741360968 26.746443910319556 118.93565546317822],"[[1660, 488], [1740, 965]]"
1,16,2,cod,345.7939553,64.62197769,17226,"[[576, 160], [552, 220]]",[15.505030981752032 61.44471604797908 85.84668296287875],"[[1119, 136], [1476, 287]]"
1,16,3,hake,504.0724736,86.20904825,30125,"[[123, 636], [209, 642]]",[39.35352282739941 33.51789968345136 96.35163006233071],"[[801, 374], [900, 881]]"
1,16,4,haddock,349.5180178,70.76722405,20973.5,"[[627, 815], [575, 863]]",[32.85168518258098 30.16326817606525 114.50147658557165],"[[1195, 749], [1485, 1031]]"
1,16,5,whiting,402.1591849,84.8763807,23565,"[[967, 196], [897, 244]]",[62.709855157156575 25.483950411153316 141.16070459573402],"[[1556, 74], [1843, 414]]"
1,16,6,whiting,382.8559149,93.13431162,28036,"[[807, 378], [802, 471]]",[18.722191030949542 56.79475752684399 111.09916485367394],"[[1354, 382], [1788, 493]]"
1,16,7,hake,391.0395843,55,17663,"[[744, 755], [799, 755]]",[37.36668879300807 27.357340413762586 128.51139506582587],"[[1478, 553], [1552, 960]]"
1,17,0,cod,429.1905407,94.86832981,28412,"[[107, 796], [197, 766]]",[25.312905126694165 50.66567298693196 82.8770841276994],"[[727, 585], [911, 997]]"
1,17,1,hake,436.0044343,74.43117626,24944.5,"[[614, 447], [652, 511]]",[22.235222257250946 39.594892812105925 106.30083543505674],"[[1166, 353], [1583, 600]]"
1,17,2,cod,373.9327691,68.0661443,18527,"[[380, 590], [313, 602]]",[15.647805393971444 58.772342675832896 92.90819672131147],"[[991, 448], [1093, 820]]"
1,17,3,hake,451.8204416,90.25519376,28467.5,"[[617, 193], [632, 104]]",[23.436214275852546 35.2313613143725 85.32189700400387],"[[1069, 110], [1561, 211]]"
1,17,4,haddock,334.970898,74.33034374,19738.5,"[[758, 250], [751, 324]]",[20.240971635785606 43.76707565446326 100.7648402960608],"[[1320, 256], [1697, 342]]"
1,17,5,whiting,442.6705568,89.09545443,26113,"[[261, 140], [198, 203]]",[52.568472237928304 34.061894530513776 130.98416826868709],"[[755, 47], [1106, 359]]"
1,17,6,whiting,440.4636092,90.55385138,29053,"[[114, 385], [192, 339]]",[28.052219321148826 54.85117493472585 114.40710725306026],"[[683, 168], [932, 566]]"
1,17,7,hake,378.9440913,59.66573556,18458,"[[553, 829], [515, 783]]",[29.456362283405973 30.965238652067608 109.34394599766132],"[[1074, 714], [1393, 970]]"
1,18,0,cod,414.7029756,68,23506,"[[840, 646], [908, 646]]",[21.344342379958245 57.144133611691025 64.6929018789144],"[[1586, 426], [1672, 860]]"
1,18,1,hake,469.6135015,74.6860094,26707,"[[156, 764], [223, 731]]",[37.46447382960698 29.292938966444435 111.7960145861726],"[[741, 534], [990, 966]]"
1,18,2,cod,370.8124024,66.28725368,18224.5,"[[642, 327], [577, 314]]",[14.276221708510295 62.726573840116124 89.95478737702274],"[[1259, 167], [1380, 539]]"
1,18,3,hake,478.8382348,90.21086409,29767,"[[279, 399], [326, 322]]",[21.365792346111864 35.315549234280425 95.66013958257533],"[[737, 245], [1174, 508]]"
1,18,4,haddock,357.745921,68.62215386,20453,"[[576, 560], [626, 607]]",[19.101490384615385 42.85884615384615 119.80927884615384],"[[1202, 450], [1487, 730]]"
1,18,5,whiting,385.019779,85.21150157,24731,"[[660, 845], [654, 930]]",[49.06666931385006 38.424158195679794 131.59041454891994],"[[1195, 870], [1633, 966]]"
1,18,6,whiting,428.1777536,79.15806971,26882.5,"[[940, 799], [1019, 804]]",[59.49378473237789 25.38849078677976 135.1535902310617],"[[1705, 582], [1814, 1030]]"
1,18,7,hake,384.0842378,56.0357029,17092.5,"[[1006, 277], [950, 279]]",[28.663103743926836 31.89637039154044 100.13300943126607],"[[1708, 109], [1776, 504]]"
1,19,0,cod,438.6081982,90.19977827,28115.5,"[[62, 632], [152, 638]]",[20.748757263880137 54.96660365469439 85.84534061471679],"[[732, 410], [833, 850]]"
1,19,1,hake,456.1244091,65.9241989,24603.5,"[[866, 339], [931, 350]]",[24.359140042279925 33.1191416377488 113.69694068844481],"[[1600, 101], [1701, 563]]"
1,19,2,cod,368.655624,68.9492567,17684,"[[267, 123], [244, 188]]",[14.62794174649759 60.15936652084833 92.2739354338557],"[[781, 112], [1149, 259]]"
1,19,3,hake,453.5526745,86.21484791,29478.5,"[[683, 295], [630, 227]]",[20.926202099913063 35.06797966963151 95.50264161037919],"[[1164, 148], [1562, 458]]"
1,19,4,haddock,347.0890453,67.89698079,20365,"[[815, 759], [864, 806]]",[26.68748793203321 32.14949797258158 115.70418999806913],"[[1481, 659], [1762, 935]]"
1,19,5,whiting,440.9053758,81.59656856,26000,"[[337, 776], [414, 803]]",[42.84095292115712 36.90096426545661 122.42442805823407],"[[995, 580], [1181, 1006]]"
1,19,6,whiting,452.3377357,91.92388155,29846,"[[190, 710], [279, 733]]",[24.70021773555028 44.4615663763526 114.64604776986012],"[[833, 488], [996, 931]]"
1,19,7,hake,373.9886919,61.84658438,18217,"[[714, 597], [666, 558]]",[23.595184227537167 35.94193061840121 108.68266537384184],"[[1277, 461], [1545, 768]]"
1,20,0,cod,401.2390297,79.0253124,23548,"[[310, 220], [308, 141]]",[15.70183849585192 61.86659440530287 73.04740067536582],"[[765, 154], [1190, 241]]"
1,20,1,cod,374.940109,71.30918594,19166.5,"[[290, 789], [224, 762]]",[37.97486047821412 48.91434130356868 95.10163330090626],"[[850, 636], [1024, 991]]"
1,20,2,hake,454.4975632,83.00602388,27998,"[[952, 355], [881, 398]]",[63.376983428913206 22.95405129648524 102.62171480842979],"[[1559, 205], [1847, 606]]"
1,20,3,haddock,377.9397619,67.53517602,20774,"[[452, 780], [392, 749]]",[30.893559674673728 39.369302061660676 112.27761490448269],"[[1009, 624], [1203, 976]]"
1,20,4,whiting,383.7897374,87.02298547,25497,"[[802, 974], [804, 887]]",[67.82913953219528 18.04292705483411 135.16419405803245],"[[1325, 906], [1763, 1008]]"
1,20,5,whiting,436.0881335,83.72574276,28329.5,"[[685, 353], [602, 364]]",[20.837875368859574 57.2103801423364 102.09630272522132],"[[1302, 171], [1444, 611]]"
1,20,6,hake,380.9599752,63.12685641,17679,"[[373, 412], [332, 460]]",[40.364765919680494 29.544930108719768 119.5677279786998],"[[912, 334], [1225, 601]]"
1,20,7,hake,429.0914386,73.8241153,25307,"[[749, 704], [714, 639]]",[24.708569652707638 36.12508740579597 101.57909253360268],"[[1244, 592], [1670, 827]]"
1,21,0,cod,405.6511405,67.62396025,22163.5,"[[896, 791], [958, 818]]",[33.3163165824692 52.41216874944607 59.56682619870602],"[[1595, 607], [1807, 995]]"
1,21,1,hake,454.7730991,61.84658438,23656.5,"[[984, 508], [924, 493]]",[33.6357003689425 34.11225801102682 83.90158769638934],"[[1641, 307], [1777, 766]]"
1,21,2,cod,332.184111,71.25307011,18516,"[[790, 361], [784, 290]]",[23.501878207502248 52.03195598116502 101.9962435849955],"[[1319, 295], [1694, 375]]"
1,21,3,hake,444.9955047,90.09439494,29765.5,"[[567, 770], [553, 859]]",[54.15389443086477 32.1647948734888 100.73013146594437],"[[1065, 779], [1562, 890]]"
1,21,4,haddock,334.7017146,74.43117626,19617,"[[855, 199], [863, 125]]",[24.056085978505372 36.01474631342165 114.68472881779554],"[[1397, 125], [1771, 215]]"
1,21,5,whiting,442.5305579,84.97058314,25334,"[[169, 749], [93, 711]]",[50.7081490104773 25.54256887854094 134.1499417927823],"[[692, 560], [907, 972]]"
1,21,6,whiting,401.5554425,89.18520057,28669,"[[673, 594], [628, 517]]",[31.4136355830328 55.14762150094453 113.69067490984028],"[[1158, 479], [1565, 707]]"
1,21,7,hake,390.934075,62.43396512,17998,"[[197, 229], [144, 196]]",[23.750013624720694 31.192490053953893 121.32007193852526],"[[719, 86], [959, 420]]"
1,22,0,cod,401.417875,76.57675888,24600.5,"[[664, 745], [714, 803]]",[23.210682136427284 57.10798159631926 70.58619723944788],"[[1264, 631], [1604, 907]]"
1,22,1,hake,466.5155623,70.88018059,25783.5,"[[548, 364], [480, 344]]",[20.06128823372567 36.93654058583781 100.69363501314136],"[[1131, 162], [1298, 619]]"
1,22,2,cod,383.0105939,66.61080993,17774.5,"[[199, 566], [265, 575]]",[13.329571106094809 61.77531244838408 91.09398227165116],"[[875, 375], [975, 758]]"
1,22,3,hake,491.9194725,82.56512581,28858,"[[423, 368], [344, 344]]",[25.12368815592204 39.63288810140384 97.85317568488483],"[[991, 160], [1159, 639]]"
1,22,4,haddock,372.7734743,68.15423685,20027,"[[837, 791], [903, 808]]",[37.35440744368266 31.393927522037217 120.7169931439765],"[[1579, 617], [1704, 994]]"
1,22,5,whiting,388.5995421,89.14033879,24981,"[[741, 579], [736, 490]]",[22.69814436232112 31.084289982701684 130.06266708601981],"[[1234, 490], [1677, 600]]"
1,22,6,whiting,422.1933572,86.83317338,28977,"[[417, 815], [363, 747]]",[43.19187074829932 52.851462585034014 116.6984693877551],"[[890, 690], [1269, 970]]"
1,22,7,hake,399.0203317,58,17912.5,"[[165, 623], [107, 623]]",[34.60452933151432 26.25664392905866 118.99672578444748],"[[785, 462], [860, 866]]"
1,24,0,cod,386.7739459,82.80096618,24516,"[[707, 681], [757, 747]]",[22.53778206054766 53.71420541235044 76.16269172087047],"[[1312, 581], [1660, 841]]"
1,24,1,hake,465.8672668,68.9637586,25105.5,"[[546, 366], [480, 346]]",[24.72506158839401 33.054041371759276 108.1360810229539],"[[1132, 163], [1296, 619]]"
1,24,2,cod,381.9842298,66.61080993,17960.5,"[[199, 566], [265, 575]]",[14.652624121205516 56.27532835576871 99.08850618562319],"[[874, 375], [975, 757]]"
